# dt (sec)	Amp1 (V)	Width1 (s)	Amp2 (V)	Width2 (s)
#
3.348000e-05	   0.64934	6.367353e-08	   0.57954	1.420619e-07
1.552400e-05	   0.69035	6.650121e-08	   0.58148	1.426991e-07
7.204000e-06	   0.65263	6.500296e-08	   0.58289	1.422943e-07
1.554000e-05	   0.75606	6.956825e-08	   0.59202	1.432912e-07
4.436000e-06	   0.67782	6.459289e-08	   0.57407	1.425854e-07
1.698800e-05	   0.71848	6.667953e-08	   0.60160	1.426029e-07
2.482800e-05	   0.75558	7.128484e-08	   0.60471	1.430334e-07
3.514000e-05	   0.72753	7.111073e-08	   0.58406	1.434156e-07
3.070800e-05	   0.60226	6.350286e-08	   0.57803	1.427399e-07
8.092000e-06	   0.62258	6.599926e-08	   0.58626	1.441292e-07
6.388000e-06	   0.66229	6.384833e-08	   0.60030	1.430686e-07
2.989600e-05	   0.70159	6.619653e-08	   0.58445	1.438046e-07
1.659200e-05	   0.63383	6.267693e-08	   0.57692	1.426609e-07
3.733200e-05	   0.66337	6.454963e-08	   0.59076	1.434219e-07
3.440400e-05	   0.76938	7.030919e-08	   0.60617	1.431385e-07
1.641200e-05	   0.55575	6.316884e-08	   0.58340	1.440532e-07
3.095200e-05	   0.69001	6.413720e-08	   0.57909	1.421413e-07
2.630400e-05	   0.63970	6.199447e-08	   0.58737	1.422965e-07
3.408000e-05	   0.75712	6.894957e-08	   0.58756	1.432054e-07
3.031600e-05	   0.59771	6.168478e-08	   0.58243	1.428328e-07
2.386800e-05	   0.61969	6.163444e-08	   0.57491	1.412047e-07
3.483200e-05	   0.62509	6.268912e-08	   0.59232	1.429756e-07
3.945600e-05	   0.62158	6.671483e-08	   0.59547	9.549805e-08
1.932400e-05	   0.68223	6.454300e-08	   0.58426	1.415562e-07
2.468000e-06	   0.73105	6.732271e-08	   0.58646	1.428033e-07
1.366800e-05	   0.63465	6.397587e-08	   0.59493	1.423098e-07
1.079600e-05	   0.72247	6.655335e-08	   0.59380	1.428734e-07
7.264000e-06	   0.57600	6.188573e-08	   0.58036	1.423606e-07
3.768800e-05	   0.74160	6.793099e-08	   0.59826	1.423776e-07
3.456000e-05	   0.67637	6.946907e-08	   0.58759	1.418463e-07
6.044000e-06	   0.76995	7.078992e-08	   0.59246	1.437695e-07
4.404000e-06	   0.70053	6.715165e-08	   0.57130	1.435873e-07
1.872400e-05	   0.66263	6.259164e-08	   0.59453	1.450523e-07
3.752800e-05	   0.57342	5.977972e-08	   0.59277	1.433241e-07
2.120000e-05	   0.61774	6.249944e-08	   0.59170	1.408654e-07
3.091600e-05	   0.66101	6.409754e-08	   0.59056	1.419791e-07
2.536000e-05	   0.76485	6.709184e-08	   0.59338	1.426540e-07
7.024000e-06	   0.57525	5.883465e-08	   0.59995	1.427903e-07
9.584000e-06	   0.75832	6.875082e-08	   0.57427	1.415946e-07
2.615200e-05	   0.58887	6.153145e-08	   0.59744	1.430152e-07
2.932400e-05	   0.56736	5.779537e-08	   0.58520	1.420843e-07
2.240400e-05	   0.62271	6.328949e-08	   0.57691	1.430846e-07
1.263600e-05	   0.68170	6.430734e-08	   0.58613	1.422957e-07
2.824000e-05	   0.68851	6.265421e-08	   0.59112	1.426354e-07
8.280000e-06	   0.65491	6.463245e-08	   0.57371	1.431633e-07
3.279600e-05	   0.72282	6.775483e-08	   0.58281	1.425965e-07
1.038000e-05	   0.68813	6.447444e-08	   0.58686	1.430969e-07
2.630800e-05	   0.55449	5.965198e-08	   0.59146	1.451731e-07
1.456000e-06	   0.60317	6.122509e-08	   0.58705	1.434263e-07
2.700000e-06	   0.58913	6.760666e-08	   0.58396	1.418367e-07
3.025600e-05	   0.71290	6.302477e-08	   0.58995	1.434683e-07
2.261200e-05	   0.73515	6.659829e-08	   0.58898	1.425411e-07
3.166800e-05	   0.70697	6.616155e-08	   0.59333	1.422014e-07
1.077600e-05	   0.51378	6.073168e-08	   0.59510	1.439906e-07
1.372000e-05	   0.73243	6.740559e-08	   0.60684	1.437084e-07
1.897200e-05	   0.69564	6.384917e-08	   0.59048	1.429042e-07
3.089200e-05	   0.72448	6.895042e-08	   0.60096	1.424194e-07
3.347600e-05	   0.77482	6.901823e-08	   0.58057	1.428686e-07
3.577600e-05	   0.70420	6.299764e-08	   0.58154	1.420378e-07
3.034000e-05	   0.74501	6.687222e-08	   0.58260	1.415623e-07
