Trigger Count=16175	Output Count=1359	Elapsed Time=05:00.001	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=142	Trigger level (V)=0.1200	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0250	Range (microseconds)=0.5000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
3.200000E-8	0.137538	3.738912E-8	0.000000	0.000000	0.000000	6.000000E-8	0.327379	3.364618E-8	0.000000	0.000000	0.000000
3.200000E-8	0.162979	3.459892E-8	0.000000	0.000000	0.000000	1.040000E-7	0.026873	5.625279E-8	0.000000	0.000000	0.000000
4.800000E-8	0.099411	2.539708E-8	0.000000	0.000000	0.000000	8.000000E-8	0.118142	5.070295E-8	0.000000	0.000000	0.000000
0.000000	0.601722	3.426183E-8	0.000000	0.000000	0.000000	2.800000E-8	0.359270	4.894976E-8	0.000000	0.000000	0.000000
3.600000E-8	0.142846	3.769689E-8	0.000000	0.000000	0.000000	6.800000E-8	0.074496	3.542132E-8	0.000000	0.000000	0.000000
0.000000	0.431941	3.671968E-8	0.000000	0.000000	0.000000	4.800000E-8	0.017015	2.304368E-8	0.000000	0.000000	0.000000
4.000000E-8	0.144432	3.453847E-8	0.000000	0.000000	0.000000	7.200000E-8	0.410160	4.992620E-8	0.000000	0.000000	0.000000
4.400000E-8	0.129727	3.071551E-8	0.000000	0.000000	0.000000	7.600000E-8	0.186356	3.609409E-8	0.000000	0.000000	0.000000
4.800000E-8	0.123326	2.960460E-8	0.000000	0.000000	0.000000	8.400000E-8	0.021420	2.427988E-8	0.000000	0.000000	0.000000
4.400000E-8	0.153575	2.798063E-8	0.000000	0.000000	0.000000	7.600000E-8	0.041168	4.181862E-8	0.000000	0.000000	0.000000
8.000000E-9	0.471696	3.602890E-8	0.000000	0.000000	0.000000	4.400000E-8	0.033021	4.704037E-8	0.000000	0.000000	0.000000
1.200000E-8	0.389914	3.664435E-8	0.000000	0.000000	0.000000	5.600000E-8	0.069443	3.326213E-8	0.000000	0.000000	0.000000
0.000000	0.415240	4.311770E-8	0.000000	0.000000	0.000000	4.400000E-8	0.028915	6.188599E-8	0.000000	0.000000	0.000000
0.000000	0.584931	3.565593E-8	0.000000	0.000000	0.000000	2.800000E-8	0.287997	4.051505E-8	0.000000	0.000000	0.000000
